secs, cad, hr, km, kph, nm,distance, alt,lat,lon, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
,,,,,,4.74867,31.2,48.431984,-123.341009,,-1.20854,,,,,,,,,,,
,,,,,,4.76623,31.1,48.43197,-123.340772,,-1.08252,,,,,,,,,,,
,,,,,,4.77568,31,48.431959,-123.340645,,-1.18834,,,,,,,,,,,
,,,,,,4.77898,31,48.431981,-123.340615,,-1.18834,,,,,,,,,,,
,,,,,,4.78688,31.1,48.431995,-123.34072,,-0.916063,,,,,,,,,,,
,,,,,,4.7976,31.1,48.431988,-123.340865,,-0.807344,,,,,,,,,,,
,,,,,,4.8038,31.2,48.431987,-123.340949,,-0.512053,,,,,,,,,,,
,,,,,,4.83214,31.3,48.431991,-123.341333,,-0.194697,,,,,,,,,,,
,,,,,,4.88585,32,48.431998,-123.342061,,0.0751969,,,,,,,,,,,
,,,,,,4.93665,32.5,48.432015,-123.342749,,0.313213,,,,,,,,,,,
,,,,,,4.94309,32.5,48.432025,-123.342835,,0.389137,,,,,,,,,,,
,,,,,,4.95423,32.6,48.432077,-123.342964,,0.535899,,,,,,,,,,,
,,,,,,4.96555,32.7,48.432176,-123.343,,0.730032,,,,,,,,,,,
,,,,,,4.97891,32.9,48.432296,-123.342991,,0.879734,,,,,,,,,,,
,,,,,,4.98637,33,48.432363,-123.342987,,0.8873,,,,,,,,,,,
,,,,,,4.99405,33.1,48.432432,-123.342981,,1.01742,,,,,,,,,,,
,,,,,,5.00208,33.2,48.432504,-123.342972,,0.980567,,,,,,,,,,,
,,,,,,5.01048,33.4,48.432579,-123.342959,,1.18352,,,,,,,,,,,
,,,,,,5.01867,33.5,48.432652,-123.342944,,1.17528,,,,,,,,,,,
,,,,,,5.02727,33.6,48.432729,-123.342933,,1.19311,,,,,,,,,,,
,,,,,,5.03639,33.8,48.432811,-123.342932,,1.41245,,,,,,,,,,,
,,,,,,5.04584,33.9,48.432896,-123.342935,,1.42843,,,,,,,,,,,
,,,,,,5.05586,34.1,48.432986,-123.342941,,1.53978,,,,,,,,,,,
,,,,,,5.06565,34.3,48.433074,-123.342939,,1.59444,,,,,,,,,,,
,,,,,,5.07522,34.4,48.43316,-123.342933,,1.56478,,,,,,,,,,,
